"CITY","EW","LONS","STATE"
" ""Youngstown"""," ""W""","0"," OH"
" ""Yankton"""," ""W""","23"," SD"
" ""Yakima"""," ""W""","36"," WA"
" ""Worcester"""," ""W""","0"," MA"
" ""Wisconsin Dells"""," ""W""","11"," WI"
" ""Winston-Salem"""," ""W""","0"," NC"
" ""Winnipeg"""," ""W""","0"," MB"
" ""Winchester"""," ""W""","36"," VA"
" ""Wilmington"""," ""W""","11"," NC"
" ""Wilmington"""," ""W""","0"," DE"
" ""Williston"""," ""W""","12"," ND"
" ""Williamsport"""," ""W""","0"," PA"
" ""Williamson"""," ""W""","47"," WV"
" ""Wichita Falls"""," ""W""","23"," TX"
" ""Wichita"""," ""W""","23"," KS"
" ""Wheeling"""," ""W""","12"," WV"
" ""West Palm Beach"""," ""W""","0"," FL"
" ""Wenatchee"""," ""W""","11"," WA"
" ""Weed"""," ""W""","23"," CA"
" ""Waycross"""," ""W""","59"," GA"
" ""Wausau"""," ""W""","23"," WI"
" ""Waukegan"""," ""W""","48"," IL"
" ""Watertown"""," ""W""","36"," SD"
" ""Watertown"""," ""W""","11"," NY"
" ""Waterloo"""," ""W""","23"," IA"
" ""Waterbury"""," ""W""","0"," CT"
" ""Washington"""," ""W""","47"," DC"
" ""Warren"""," ""W""","23"," PA"
" ""Walla Walla"""," ""W""","48"," WA"
" ""Waco"""," ""W""","23"," TX"
" ""Vincennes"""," ""W""","47"," IN"
" ""Victoria"""," ""W""","36"," TX"
" ""Vicksburg"""," ""W""","47"," MS"
" ""Vancouver"""," ""W""","12"," BC"
" ""Valley City"""," ""W""","36"," ND"
" ""Valdosta"""," ""W""","47"," GA"
" ""Utica"""," ""W""","48"," NY"
" ""Uniontown"""," ""W""","48"," PA"
" ""Tyler"""," ""W""","0"," TX"
" ""Twin Falls"""," ""W""","12"," ID"
" ""Tuscaloosa"""," ""W""","11"," AL"
" ""Tupelo"""," ""W""","35"," MS"
" ""Tulsa"""," ""W""","36"," OK"
" ""Tucson"""," ""W""","12"," AZ"
" ""Trinidad"""," ""W""","36"," CO"
" ""Trenton"""," ""W""","11"," NJ"
" ""Traverse City"""," ""W""","47"," MI"
" ""Toronto"""," ""W""","47"," ON"
" ""Topeka"""," ""W""","11"," KS"
" ""Toledo"""," ""W""","24"," OH"
" ""Texarkana"""," ""W""","0"," TX"
" ""Terre Haute"""," ""W""","36"," IN"
" ""Tampa"""," ""W""","59"," FL"
" ""Tallahassee"""," ""W""","47"," FL"
" ""Tacoma"""," ""W""","48"," WA"
" ""Syracuse"""," ""W""","0"," NY"
" ""Swainsboro"""," ""W""","23"," GA"
" ""Sumter"""," ""W""","59"," SC"
" ""Stroudsburg"""," ""W""","24"," PA"
" ""Stockton"""," ""W""","24"," CA"
" ""Stevens Point"""," ""W""","11"," WI"
" ""Steubenville"""," ""W""","12"," OH"
" ""Sterling"""," ""W""","12"," CO"
" ""Staunton"""," ""W""","11"," VA"
" ""Springfield"""," ""W""","35"," OH"
" ""Springfield"""," ""W""","24"," MO"
" ""Springfield"""," ""W""","23"," MA"
" ""Springfield"""," ""W""","0"," IL"
" ""Spokane"""," ""W""","36"," WA"
" ""South Bend"""," ""W""","0"," IN"
" ""Sioux Falls"""," ""W""","48"," SD"
" ""Sioux City"""," ""W""","23"," IA"
" ""Shreveport"""," ""W""","0"," LA"
" ""Sherman"""," ""W""","36"," TX"
" ""Sheridan"""," ""W""","35"," WY"
" ""Seminole"""," ""W""","48"," OK"
" ""Selma"""," ""W""","11"," AL"
" ""Sedalia"""," ""W""","48"," MO"
" ""Seattle"""," ""W""","48"," WA"
" ""Scranton"""," ""W""","11"," PA"
" ""Scottsbluff"""," ""W""","36"," NB"
" ""Schenectady"""," ""W""","59"," NY"
" ""Savannah"""," ""W""","23"," GA"
" ""Sault Sainte Marie"""," ""W""","59"," MI"
" ""Sarasota"""," ""W""","47"," FL"
" ""Santa Rosa"""," ""W""","12"," CA"
" ""Santa Fe"""," ""W""","59"," NM"
" ""Santa Barbara"""," ""W""","59"," CA"
" ""Santa Ana"""," ""W""","12"," CA"
" ""San Jose"""," ""W""","47"," CA"
" ""San Francisco"""," ""W""","11"," CA"
" ""Sandusky"""," ""W""","35"," OH"
" ""San Diego"""," ""W""","0"," CA"
" ""San Bernardino"""," ""W""","35"," CA"
" ""San Antonio"""," ""W""","0"," TX"
" ""San Angelo"""," ""W""","24"," TX"
" ""Salt Lake City"""," ""W""","47"," UT"
" ""Salisbury"""," ""W""","59"," MD"
" ""Salinas"""," ""W""","0"," CA"
" ""Salina"""," ""W""","36"," KS"
" ""Salida"""," ""W""","0"," CO"
" ""Salem"""," ""W""","47"," OR"
" ""Saint Paul"""," ""W""","59"," MN"
" ""Saint Louis"""," ""W""","24"," MO"
" ""Saint Joseph"""," ""W""","23"," MO"
" ""Saint Joseph"""," ""W""","48"," MI"
" ""Saint Johnsbury"""," ""W""","11"," VT"
" ""Saint Cloud"""," ""W""","11"," MN"
" ""Saint Augustine"""," ""W""","11"," FL"
" ""Saginaw"""," ""W""","24"," MI"
" ""Sacramento"""," ""W""","23"," CA"
" ""Rutland"""," ""W""","12"," VT"
" ""Roswell"""," ""W""","47"," NM"
" ""Rocky Mount"""," ""W""","0"," NC"
" ""Rock Springs"""," ""W""","48"," WY"
" ""Rockford"""," ""W""","59"," IL"
" ""Rochester"""," ""W""","36"," NY"
" ""Rochester"""," ""W""","35"," MN"
" ""Roanoke"""," ""W""","24"," VA"
" ""Richmond"""," ""W""","59"," VA"
" ""Richmond"""," ""W""","23"," IN"
" ""Richfield"""," ""W""","23"," UT"
" ""Rhinelander"""," ""W""","11"," WI"
" ""Reno"""," ""W""","35"," NV"
" ""Regina"""," ""W""","0"," SA"
" ""Red Bluff"""," ""W""","23"," CA"
" ""Reading"""," ""W""","48"," PA"
